func	unit	status	len_err	diffs	flags	needs_guard
func_800323F8	func_800323F8	STUB				
func_80032B38	test_and_set_obj_flag8000	MATCH	0	0	-G8	
func_80032B60	compare_rec_two_level	MATCH	0	0	-G8	
func_80032BD4	compare_rec_two_level_std	MATCH	0	0	-G8 -msplit-addresses	
func_80032C48	func_80032C48	STUB				
func_800330BC	func_800330BC	OK	-18	221	-G0 -mno-split-addresses	
func_80033500	func_80033500	MATCH	0	0	-G8 -msplit-addresses	
func_8003353C	func_8003353C	OK	-3	63	-G0 -mno-split-addresses	
func_800336F0	type_record_transition_dispatch	OK	-3	76	-G0 -mno-split-addresses	
func_800338E4	func_800338E4	MATCH	0	0	-G0 -mno-split-addresses	
func_80033998	find_free_slot_gp3f4	MATCH	0	0	-G8	
func_800339D0	obj_pending_build_or_cleanup	STUB				
func_80033BE8	flash_indicator_and_dispatch	MATCH	0	0	-G8 -msplit-addresses	
func_80033C90	reset_state_and_set_mode7	MATCH	0	0	-G8 -mno-split-addresses	
func_80033CA8	reset_state_and_set_mode7_v2	MATCH	0	0	-G8 -mno-split-addresses	
func_80033CC4	update_field11589_from_table	MATCH	0	0	-G8	
func_80033CF8	func_80033CF8	MATCH	0	0	-G8 -msplit-addresses	
func_80035598	compare_u32	MATCH	0	0	-G8	
func_800355C8	relink_active_ptr_and_flag4	MATCH	0	0	-G8	
func_80035668	set_state_and_color	MATCH	0	0	-G8	
func_80035680	set_active_ptr_and_flag4	MATCH	0	0	-G8	
func_800356A0	backward_word_copy_with_tail_dispatch	STUB				
func_80035700	copy_word_at_shifted_offset	ERROR	None	None	-G8 -msplit-addresses	
func_8003571C	func_8003571C	ERROR	None	None	-G8	
func_800357B8	func_800357B8	ERROR	None	None	-G8	
func_800357E8	digit_utils	MATCH	0	0	-G8	
func_800358A0	clear_trailing_separator_bytes	MATCH	0	0	-G8 -msplit-addresses	
func_800358FC	call_8e590_mod	MATCH	0	0	-G8 -msplit-addresses	
func_8003594C	func_8003594C	OK	0	8	-G8 -mno-split-addresses	
func_800359B0	func_800359B0	OK	0	8	-G8 -mno-split-addresses	
func_80035A58	func_80035A58	MATCH	0	0	-G8	
func_80035A64	func_80035A64	MATCH	0	0	-G8 -msplit-addresses	
func_80035AB8	set_entry_fields_800eb0f8	MATCH	0	0	-G8	
func_80035AF0	func_80035AF0	MATCH	0	0	-G8 -mno-split-addresses	
func_80035B7C	cleanup_entry_clear_three_call_delete	MATCH	0	0	-G8 -msplit-addresses	
func_80035BE4	forward_args_call_35ab8_35af0	MATCH	0	0	-G8 -msplit-addresses	
func_80035C38	forward_args_call_35ab8_35af0_or_flag	MATCH	0	0	-G8 -msplit-addresses	
func_80035CA8	clear_matching_byte_800eaf08	MATCH	0	0	-G8	
func_80035CE4	reset_free_slot_800eaf08	MATCH	0	0	-G8	
func_80035D10	find_free_slot_800eaf08	MATCH	0	0	-G8	
func_80035DB8	clear_matching_byte_800eb288	MATCH	0	0	-G8	
func_80035DF4	clear_two_fields_800eb288	MATCH	0	0	-G8	
func_80035E20	func_80035E20	STUB				
func_80036BCC	find_entry_by_be16_id	OK	-1	16	-G8 -msplit-addresses	
func_80036C14	func_80036C14	MATCH	0	0	-G8	
func_80036D3C	read_stream_u16le_multi	MATCH	0	0	-G8	
func_80036D70	read_stream_u32be	MATCH	0	0	-G8 -msplit-addresses	
func_80036F80	set_flags_from_battle_mode	MATCH	0	0	-G8	
func_8003700C	func_8003700C	OK	-2	58	-G8 -msplit-addresses	
func_80037110	func_80037110	MATCH	0	0	-G8 -msplit-addresses	
func_800371A8	func_800371A8	MATCH	0	0	-G8 -mno-split-addresses	
func_8003735C	scan_flag80_entries_800eb288	MATCH	0	0	-G8	
func_800373C8	set_flag80_entries_800eb288	MATCH	0	0	-G8 -msplit-addresses	
func_8003741C	func_8003741C	MATCH	0	0	-G8 -msplit-addresses	
func_800374A8	set_field81_call_373c8	MATCH	0	0	-G8 -msplit-addresses	
func_800374F4	func_800374F4	MATCH	0	0	-G8 -mno-split-addresses	
func_800375A4	func_800375A4	MATCH	0	0	-G8 -mno-split-addresses	
func_8003767C	reset_and_advance_multi_stream	OK	3	41	-G8 -mno-split-addresses	
